,Spotify ID,artists_id,track_name,album_name,artists,date,duration_ms,song_popularity,added_by,added_at,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,6sHBvzRsuGunQTfCk18KXi,1ackd5XprZEkH3McKbQD51,Bailando por Ahi,The King Of Dance,Juan Magán,2012-05-14,180453,67,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"electro latino,spanish pop",0.73,0.732,4,-5.167,0,0.051,0.0427,2.22e-06,0.262,0.974,129.974,4
1,48lxT5qJF0yYyf2z4wB4xW,"1c3uso4iIeeX3P0bhKaQDq,124jbwgd8Hh6LW7jAqTa8r,6EVyI0S0b1Ld2nm37m5x85",Pedro,Pedro,"Jaxomy,Agatino Romero,Raffaella Carrà",2024-03-29,144846,90,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,classic italian pop,0.788,0.936,9,-6.294,1,0.301,0.0229,1.3e-06,0.311,0.844,151.019,4
2,7iUtQNMRB8ZkKC4AmEuCJC,7iK8PXO48WeuP03g8YR51W,LA FALDA,LVEU: VIVE LA TUYA...NO LA MIA,Myke Towers,2023-09-18,174229,90,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"reggaeton,trap latino,urbano latino",0.8,0.738,7,-4.26,1,0.0691,0.372,0.00877,0.19,0.267,103.008,4
3,69Ej1xrGjOcHvIMtMKxK0G,33ScadVnbm2X8kkUqOkC6Z,Dile,The Last Don,Don Omar,2003-01-01,204600,84,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"latin hip hop,puerto rican pop,reggaeton,trap latino,urbano latino",0.822,0.713,9,-7.501,1,0.122,0.186,0.00013,0.0431,0.714,94.034,4
4,51QmqegeWI2orK2mzDfnIH,0HSGpDMeXaEmH5aUIHjnBF,El Mambo,El Mambo,Kiko Rivera,2023-07-13,129845,69,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"electro bailando,electro latino",0.884,0.718,1,-4.976,0,0.0763,0.0406,4.69e-05,0.287,0.729,139.991,4
5,79yHWlNZ2men85M1XKJk5o,"1ackd5XprZEkH3McKbQD51,1Ts9of7VPZElwPQnqnDSfW,3pJzzHeCYyvNfKewH2NFCg",No lo dudaré,No lo dudaré,"Juan Magán,Lyanno,dbeet",2024-02-29,180425,51,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"electro latino,spanish pop,reggaeton,reggaeton flow,trap boricua,trap latino,urbano latino",0.686,0.711,9,-6.854,1,0.0407,0.0348,0.00696,0.129,0.254,141.012,4
6,7ABLbnD53cQK00mhcaOUVG,7iK8PXO48WeuP03g8YR51W,LALA,LA VIDA ES UNA,Myke Towers,2023-03-23,197920,86,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"reggaeton,trap latino,urbano latino",0.708,0.737,1,-4.045,1,0.0436,0.0739,0.00162,0.0955,0.607,91.986,4
7,6Es8Sk3xe1HiJ2MXCfHHwR,"0AqlFI0tz2DsEoJlKSIiT9,7vXDAI8JwjW531ouMGbfcp",La_Original.mp3,.mp3,"Emilia,TINI",2023-11-03,140625,80,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"pop argentino,latin pop,latin viral pop",0.833,0.809,5,-2.751,0,0.0381,0.0836,0.0,0.112,0.905,128.055,4
8,6g9QI7aDG8erPWyAzII9b6,"1ackd5XprZEkH3McKbQD51,08Cb5OwPZ7SrS19MNYaHqz",Como Yo,The King Of Dance,"Juan Magán,Buxxi",2012-05-14,192146,46,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"electro latino,spanish pop,electro bailando",0.641,0.858,6,-6.304,1,0.0683,0.349,0.0,0.0884,0.931,129.966,4
9,4SmMe198ot30paOyvuTH5w,"3bvfu2KAve4lPHrhEFDZna,2O8vbr4RYPpk6MRA4fio7u",UNA BACHATA,GRX,"Lola Indigo,SAIKO",2024-02-01,157846,72,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"latin viral pop,spanish pop,trap latino,urbano espanol,urbano latino",0.715,0.72,0,-4.201,0,0.086,0.503,0.0,0.1,0.841,129.957,4
10,62k8iliO7KTiYp7LWGPa5p,"4ixNZvQuuzCDxBsxO9zE6L,2O8vbr4RYPpk6MRA4fio7u,4SsVbpTthjScTS7U2hmr1X",X'CLUSIVO - REMIX,X'CLUSIVO (REMIX),"Gonzy,SAIKO,Arcángel",2024-02-29,208133,83,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"urbano latino,trap latino,urbano espanol,latin hip hop,reggaeton",0.813,0.552,6,-6.328,1,0.0769,0.0702,0.000195,0.0542,0.773,146.953,4
11,2DAULesb1U4Qz4FSTZpEUJ,"5DUlefCLzVRzNWaNURTFpK,1ackd5XprZEkH3McKbQD51,07YUOmWljBTXwIseAUd9TW",Por Fin Te Encontré,Por Fin Te Encontré,"Cali Y El Dandee,Juan Magán,Sebastian Yatra",2015-09-24,250836,71,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"colombian pop,electro latino,latin pop,reggaeton,reggaeton colombiano,trap latino,urbano latino,spanish pop",0.645,0.821,11,-3.679,1,0.213,0.0492,0.0,0.193,0.844,179.968,4
12,357iDuZ0IXAAg3Aj7UszqO,"6C2mFGFh8dz1vKp9l5Ce8P,3aIuAAH6qMvKYrtxxF7FF7",Buscando Money,Buscando Money,"TWENTY SIX,Tayson Kryss",2023-07-21,150000,60,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,,0.817,0.812,9,-6.674,0,0.057,0.0895,0.536,0.0669,0.725,128.028,4
13,0qZhK4gFB5c1Wxsnd6WA8U,"0GgY7hjMoGDsX8ZDe2mwds,3bvfu2KAve4lPHrhEFDZna,2CCgb0KApjfQDuTppovpf8",Casanova,Casanova,"Soolking,Lola Indigo,Rvfv",2023-12-07,243806,76,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"french hip hop,pop urbaine,r&b francais,rap algerien,latin viral pop,spanish pop,drill espanol,flamenco urbano,urbano espanol,urbano latino",0.668,0.807,7,-6.147,0,0.186,0.675,2.06e-05,0.0995,0.544,132.087,4
14,7bywjHOc0wSjGGbj04XbVi,"2LRoIwlKmHjgvigdNGBHNo,7jAs1uPnpfNmT6e5qtEPxq",LUNA,FERXXOCALIPSIS,"Feid,ATL Jacob",2023-12-01,196800,93,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"colombian pop,pop reggaeton,reggaeton,reggaeton colombiano,trap latino,urbano latino",0.774,0.86,7,-2.888,0,0.13,0.131,0.0,0.116,0.446,100.019,4
15,0045sU9P7QjAv3otJi9XkG,"6Tivc3572NhJWiuOr4f7VR,1ackd5XprZEkH3McKbQD51",Mírame Ahora,Mírame Ahora,"Dan Abedrop,Juan Magán",2024-04-12,161150,52,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"electro latino,spanish pop",0.675,0.782,7,-5.436,0,0.0423,0.0872,0.00212,0.115,0.395,109.976,4
16,6irysuQyZWd7Bjj7ePiOs2,6nVcHLIgY5pE2YCl8ubca1,Holanda,Holanda,Jhayco,2023-07-28,231693,80,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"reggaeton,trap latino,urbano latino",0.831,0.759,1,-3.627,0,0.0502,0.277,0.0,0.125,0.244,107.961,4
17,0Me3GyNuLOa1YTIxhJPyCn,"7qG3b048QCHVRO5Pv1T5lw,1DxLCyH42yaHKGK3cl5bvG",ASI ES LA VIDA,ASI ES LA VIDA,"Enrique Iglesias,Maria Becerra",2023-09-28,172095,76,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"dance pop,latin pop,mexican pop,pop argentino",0.823,0.882,3,-3.513,0,0.0556,0.688,1.7e-06,0.107,0.963,128.044,4
18,26QKsGW4hMuwiEE1ftUMHe,4VMYDCV2IEDYJArk749S6m,"Lo Que Pasó, Pasó",Barrio Fino (Bonus Track Version),Daddy Yankee,2004-07-13,210933,80,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"latin hip hop,reggaeton,trap latino,urbano latino",0.819,0.741,8,-6.538,0,0.0412,0.104,0.0,0.283,0.84,97.014,4
19,6KHxe3Yj8W8oq3zviUvJRe,6k8mwkKJKKjBILo7ypBspl,Madrid City,Madrid City,Ana Mena,2023-09-29,172727,76,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,spanish pop,0.73,0.87,1,-3.718,0,0.0561,0.0272,2.9e-06,0.45,0.184,132.011,4
20,4BBWiNHxUaP7YIvqsvoluH,"6alFyA4PruPsPkMVpXgKdO,739aFmVU1xgN7hmsfHKtuP,36M0jqgi6ITRuSLb6VZB3w",Se vale to,Se vale to,"Victor Magan,Joan Qveralt,Wolfan Flame",2024-02-29,174375,36,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,electro latino,0.787,0.73,11,-5.247,0,0.0648,0.339,7.69e-05,0.671,0.808,128.022,4
21,6gMj2DzKR2PjrrbNSwcGFR,"2R21vXR83lH98kGeO99Y66,52iwsT98xCoGgiGntTiR7K,1r4hJ1h58CWwUQe3MxPuau,2T1aUibqR2QC2sINIDQOAK,64aJYyrXljOodnUG6jvhRD",OA,OA,"Anuel AA,Quevedo,Maluma,Mambo Kingz,DJ Luian",2023-10-13,235200,82,spotify:user:cristinatuduri55,2024-05-09T17:17:57Z,"reggaeton,reggaeton flow,trap boricua,trap latino,urbano latino,rap canario,latin pop,reggaeton colombiano",0.813,0.866,7,-3.239,1,0.0851,0.17,0.0,0.0421,0.647,99.994,4
