,track_uri,track_name,artist_uris,album_uri,album_artist_uris,album_artist_names,album_date,album_img_url,disc_number,track_number,Track Duration (ms),track_preview_url,explicit,isrc,artists_id,album_name,artist_name_s,date,duration_ms,song_popularity,added_by,added_at,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,spotify:track:3AZXqe3LGCFD4r6YFJgaK3,Ella Me Levanto,spotify:artist:4VMYDCV2IEDYJArk749S6m,spotify:album:0GarKYA3ebL7sQx7IP2SSt,spotify:artist:4VMYDCV2IEDYJArk749S6m,Daddy Yankee,2007-06-05,https://i.scdn.co/image/ab67616d0000b2733780d7f6f8fb64d5b958bf5e,1,6,209493,https://p.scdn.co/mp3-preview/d95c7d0fe281245d3030ee55e0609828f0a7f9cb?cid=9950ac751e34487dbbe027c4fd7f8e99,False,QM7281714880,4VMYDCV2IEDYJArk749S6m,El Cartel: The Big Boss,Daddy Yankee,2007-06-05,209493.0,0.0,spotify:user:norarosaas,2020-12-01T22:10:38Z,"latin hip hop,reggaeton,trap latino,urbano latino",0.76,0.899,5.0,-4.744,1.0,0.0677,0.0743,0.0,0.212,0.767,100.046,4.0
1,spotify:track:3Kemg5QPEhEjOiWUFrTkXX,Donde Estan Las Gatas (feat. Nicky Jam),"spotify:artist:4VMYDCV2IEDYJArk749S6m, spotify:artist:1SupJlEpv7RS2tPNRaHViT",spotify:album:6JmEk1yaNPn4LFx9YPcZXv,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,Various Artists,2013-07-09,https://i.scdn.co/image/ab67616d0000b273ad3389e901d7477e793ee4bc,1,14,170005,https://p.scdn.co/mp3-preview/dad70b02ab2ce9b631d838d8e88d6175d2562c01?cid=9950ac751e34487dbbe027c4fd7f8e99,False,TCABP1302332,"4VMYDCV2IEDYJArk749S6m,1SupJlEpv7RS2tPNRaHViT",Alex Gargolas Greatest Hits,"Daddy Yankee,Nicky Jam",2013-07-09,170005.0,0.0,spotify:user:norarosaas,2020-12-01T22:10:54Z,"latin hip hop,reggaeton,trap latino,urbano latino",0.836,0.961,7.0,-2.679,0.0,0.0635,0.194,0.0,0.074,0.76,109.957,4.0
2,spotify:track:2cRtuTadVm0JzoW4NNTIqI,Candy,spotify:artist:2jSGzJw0ebJLu7OLVSOcBP,spotify:album:04NPh9S2gPzYveqlJYQ0V8,spotify:artist:2jSGzJw0ebJLu7OLVSOcBP,Plan B,2014-09-09,https://i.scdn.co/image/ab67616d0000b2739ffb99a9a28c0adeb365c4c7,1,14,207500,https://p.scdn.co/mp3-preview/7ed79ab83d4feb6845fd261a9db6a2bbaba22bd4?cid=9950ac751e34487dbbe027c4fd7f8e99,False,USB271311099,2jSGzJw0ebJLu7OLVSOcBP,Love and Sex,Plan B,2014-09-09,207500.0,71.0,spotify:user:norarosaas,2020-12-01T22:10:58Z,"reggaeton,trap latino,urbano latino",0.897,0.867,11.0,-3.733,0.0,0.109,0.245,0.0,0.529,0.594,96.003,4.0
3,spotify:track:419w8oZaqevgyZfdvFZEHa,Te Pintaron Pajaritos,"spotify:artist:3ptY5WTxu77JpAQQnHyxEl, spotify:artist:7hIqJfRYGBWWT1Qxu6Cpd2",spotify:album:3DQCcUo4IlRoSAMo8MPl9m,spotify:artist:3ptY5WTxu77JpAQQnHyxEl,Yandar & Yostin,2016-12-30,https://i.scdn.co/image/ab67616d0000b2738f3e993d79d1050acc13893e,1,5,172374,https://p.scdn.co/mp3-preview/f85c8a98a1a5ca29442723d7028d2bbb2dd35c87?cid=9950ac751e34487dbbe027c4fd7f8e99,False,QZ5AB1645078,"3ptY5WTxu77JpAQQnHyxEl,7hIqJfRYGBWWT1Qxu6Cpd2",Te Pintaron Pajaritos,"Yandar & Yostin,Andy Rivera",2016-12-30,172374.0,0.0,spotify:user:norarosaas,2020-12-01T22:11:02Z,"reggaeton,reggaeton colombiano,trap latino,urbano latino",0.889,0.77,9.0,-5.674,1.0,0.167,0.0855,0.0,0.0967,0.935,96.025,4.0
4,spotify:track:7fZJWsOEdr8aP8okxyTBGd,La conocí bailando (feat. K-Narias) - Radio Edit,"spotify:artist:52wHLjXBRtdLP9VXX4Uosn, spotify:artist:6bwz9tsKnEgaWbwGobFWQR",spotify:album:6mEJMDTbka4QKCliq4f10m,spotify:artist:52wHLjXBRtdLP9VXX4Uosn,Dr. Bellido,2014-06-17,https://i.scdn.co/image/ab67616d0000b273c17919ce8532f77e087dbcf9,1,1,181115,https://p.scdn.co/mp3-preview/01d11b1cc18636b75ead722382e0375e949d446c?cid=9950ac751e34487dbbe027c4fd7f8e99,False,ES19S1400071,"52wHLjXBRtdLP9VXX4Uosn,6bwz9tsKnEgaWbwGobFWQR",La conocí bailando (feat. K-Narias),"Dr. Bellido,K-Narias",2014-06-17,181115.0,5.0,spotify:user:norarosaas,2020-12-01T22:11:10Z,"electro latino,spanish pop rock",0.711,0.841,0.0,-3.803,0.0,0.0322,0.265,0.0,0.268,0.658,104.033,4.0
5,spotify:track:5RZTA3NhiHR2408da3HMNz,Pasado pisado,"spotify:artist:2Q1HJnngR9v11eyzvEgSPb, spotify:artist:6UB8RXeMiUmvTXzNB46VVb",spotify:album:1J14HzX4iAWUdIMBZeXF1u,spotify:artist:2Q1HJnngR9v11eyzvEgSPb,Comando Tiburon,2017-04-19,https://i.scdn.co/image/ab67616d0000b273073685293d285b0bd74ab156,1,8,197773,https://p.scdn.co/mp3-preview/13fb84f7689a3c64514f1f2822721cf3070bf6fb?cid=9950ac751e34487dbbe027c4fd7f8e99,False,QZ22B1784035,"2Q1HJnngR9v11eyzvEgSPb,6UB8RXeMiUmvTXzNB46VVb",Ya tu sabes quienes son,"Comando Tiburon,Mach and Daddy",2017-04-19,197773.0,0.0,spotify:user:norarosaas,2020-12-01T22:11:15Z,panamanian pop,0.571,0.823,8.0,-5.874,1.0,0.193,0.118,6.55e-05,0.0416,0.913,128.975,4.0
6,spotify:track:2pbLzrByOZPibnYwSXLplI,Noche de Estrellas,"spotify:artist:2ny2IhV61AbrsaWpjvGM7m, spotify:artist:4mnY9Vvz3GXQIyHljvWnY1, spotify:artist:4hRoKcngdOyw6Z7mR9DHJ1",spotify:album:0Qpz5AoKNgePRMPOePPbLl,"spotify:artist:2ny2IhV61AbrsaWpjvGM7m, spotify:artist:4mnY9Vvz3GXQIyHljvWnY1","José de Rico, Henry Mendez",2012-06-11,https://i.scdn.co/image/ab67616d0000b273f89f7c7bae347db58d1b8bfd,1,1,201000,https://p.scdn.co/mp3-preview/af917c63aba3b721b1f273c2043ec81628cc579f?cid=9950ac751e34487dbbe027c4fd7f8e99,False,ES1611200139,"2ny2IhV61AbrsaWpjvGM7m,4mnY9Vvz3GXQIyHljvWnY1,4hRoKcngdOyw6Z7mR9DHJ1",Noche de Estrellas,"José de Rico,Henry Mendez,Jay Santos",2012-06-11,201000.0,53.0,spotify:user:norarosaas,2020-12-01T22:11:19Z,"electro latino,reggaeton,spanish pop",0.732,0.912,11.0,-4.144,1.0,0.0602,0.189,0.0,0.375,0.893,128.006,4.0
7,spotify:track:0bdL8X3MrX51dRz231BFtv,Moviendo Caderas (feat. Daddy Yankee),"spotify:artist:0eHQ9o50hj6ZDNBt6Ys1sD, spotify:artist:4VMYDCV2IEDYJArk749S6m",spotify:album:6t3uUCp5kGlcXKmSfDl3Ul,spotify:artist:0eHQ9o50hj6ZDNBt6Ys1sD,Yandel,2013-11-05,https://i.scdn.co/image/ab67616d0000b27357e9af9d4640f332880ffa5e,1,7,199026,https://p.scdn.co/mp3-preview/90073b480fe270ea3e3b61eec49edf38805eedd7?cid=9950ac751e34487dbbe027c4fd7f8e99,False,USSD11300332,"0eHQ9o50hj6ZDNBt6Ys1sD,4VMYDCV2IEDYJArk749S6m",De Líder a Leyenda,"Yandel,Daddy Yankee",2013-11-05,199026.0,61.0,spotify:user:norarosaas,2020-12-01T22:11:30Z,"latin hip hop,reggaeton,trap latino,urbano latino",0.687,0.907,0.0,-5.917,1.0,0.0341,0.00105,0.000149,0.26,0.661,127.971,4.0
8,spotify:track:7qCAVkHWZkF44OzOUKf8Cr,El Perdón (with Enrique Iglesias),"spotify:artist:1SupJlEpv7RS2tPNRaHViT, spotify:artist:7qG3b048QCHVRO5Pv1T5lw",spotify:album:2dBgWXp41imu2zBNv9oFxZ,spotify:artist:1SupJlEpv7RS2tPNRaHViT,Nicky Jam,2017-01-20,https://i.scdn.co/image/ab67616d0000b273d77dbcd4dbd37cdfa61771fa,1,21,205906,https://p.scdn.co/mp3-preview/9aab246764425357825f70418e2e37435ea9c846?cid=9950ac751e34487dbbe027c4fd7f8e99,False,USSD11500005,"1SupJlEpv7RS2tPNRaHViT,7qG3b048QCHVRO5Pv1T5lw",Fénix,"Nicky Jam,Enrique Iglesias",2017-01-20,205906.0,75.0,spotify:user:norarosaas,2020-12-01T22:11:36Z,"latin hip hop,reggaeton,trap latino,urbano latino,dance pop,latin pop,mexican pop",0.628,0.69,8.0,-5.83,1.0,0.0511,0.443,0.0,0.113,0.66,179.908,4.0
9,spotify:track:5ESzrxZiHOzvTpJBncysPQ,Me Embrujaste,spotify:artist:0lsEtpjLWn4S7KBra82VG3,spotify:album:0jXfOR2iiExlM4qX6aE5zu,spotify:artist:0lsEtpjLWn4S7KBra82VG3,Aldo Ranks,2013,https://i.scdn.co/image/ab67616d0000b2737d612ac2b9e1d78dcf26fa9a,1,1,235840,https://p.scdn.co/mp3-preview/06b40a4338e9b0b1507256a23f8cc66c98e8924a?cid=9950ac751e34487dbbe027c4fd7f8e99,False,ES5051300039,0lsEtpjLWn4S7KBra82VG3,Parrandero,Aldo Ranks,2013-01-01,235840.0,0.0,spotify:user:norarosaas,2020-12-01T22:11:40Z,panamanian pop,0.891,0.794,4.0,-5.377,0.0,0.0509,0.0213,0.0,0.196,0.805,97.002,4.0
